GPS Week,GPS TOW [s],Pos Mode,INS Mode,Hdg Mode,SVs Tracked,SVs Used,UTC Date,UTC Time,Lat [deg],Lon [deg],Alt Ellips [m],SOG [m/s],COG [deg],Hdg [deg],Horiz Vel [m/s],Vert Vel [m/s],Roll [deg],Pitch [deg],Yaw [deg],PDOP,HDOP,EHPE [m],EVPE [m],EHVE [m/s],EVVE [m/s],Baseline 2D [m],Baseline 3D [m],Corr. Age [s],Delta TOW [ms],2D Delta Pos [m],3D Delta Pos [m]
2111,414535.4,4,0,,,13,,,37.82866575,-122.2865162,-25.303,0.01,81.87,,0.01,0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.959,99587.027,1.4,100,0.018,0.024
2111,414535.5,4,0,,,13,,,37.82866564,-122.2865162,-25.3157,0.05,274.399,,0.01,-0.05,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.946,99587.014,1.5,100,0.013,0.018
2111,414535.6,4,0,,,13,,,37.82866569,-122.286516,-25.2891,0.02,38.29,,0.02,0,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.953,99587.021,1.6,100,0.013,0.029
2111,414535.7,4,0,,,13,,,37.82866583,-122.286516,-25.3101,0.02,213.024,,0.02,0,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.968,99587.036,1.7,100,0.016,0.026
2111,414535.8,4,0,,,13,,,37.82866561,-122.2865162,-25.2867,0.01,262.875,,0.01,0.01,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.944,99587.012,1.8,100,0.028,0.036
2111,414535.9,4,0,,,13,,,37.82866567,-122.2865162,-25.2929,0.01,123.69,,0,0.01,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.95,99587.018,1.9,100,0.008,0.01
2111,414536,4,0,,,13,,,37.82866576,-122.286516,-25.3118,0.01,107.103,,0.01,0,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.96,99587.028,2,100,0.018,0.026
2111,414536.1,4,0,,,13,,,37.82866563,-122.2865161,-25.3085,0.02,328.392,,0.02,0,,,,1.5,0.8,0.07,0.19,0.07,0.16,99583.946,99587.014,1.1,100,0.016,0.017
2111,414536.2,4,0,,,13,,,37.82866564,-122.2865161,-25.298,0.02,190.008,,0.02,-0.01,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.947,99587.015,1.2,100,0.003,0.011
2111,414536.3,4,0,,,13,,,37.82866561,-122.2865164,-25.2983,0.01,284.036,,0.01,0,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.944,99587.012,1.3,100,0.02,0.02
2111,414536.4,4,0,,,13,,,37.82866577,-122.2865162,-25.3437,0.03,120.964,,0.01,-0.03,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.961,99587.029,1.4,100,0.021,0.05
2111,414536.5,4,0,,,13,,,37.82866568,-122.2865162,-25.3174,0.02,47.121,,0.02,-0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.952,99587.02,1.5,100,0.01,0.028
2111,414536.6,4,0,,,13,,,37.82866568,-122.286516,-25.3278,0.04,214.695,,0.02,0.03,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.951,99587.019,1.6,100,0.023,0.025
2111,414536.7,4,0,,,13,,,37.82866586,-122.2865162,-25.3443,0.03,36.384,,0.02,-0.02,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.971,99587.039,1.7,100,0.028,0.032
2111,414536.8,4,0,,,13,,,37.82866571,-122.2865162,-25.3041,0.01,225,,0.01,0,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.955,99587.023,1.8,100,0.017,0.044
2111,414536.9,4,0,,,13,,,37.8286657,-122.2865162,-25.3123,0.03,149.534,,0.02,-0.02,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.953,99587.021,1.9,100,0.006,0.01
2111,414537,4,0,,,13,,,37.82866577,-122.2865161,-25.3021,0.03,301.759,,0.02,-0.01,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.961,99587.029,2,100,0.012,0.016
2111,414537.1,4,0,,,13,,,37.82866574,-122.2865161,-25.3055,0.03,135,,0.01,0.02,,,,1.5,0.8,0.09,0.21,0.07,0.16,99583.958,99587.026,2.1,100,0.003,0.005
2111,414537.2,4,0,,,13,,,37.82866587,-122.2865162,-25.3366,0.03,153.435,,0,0.03,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.972,99587.04,1.2,100,0.016,0.035
2111,414537.3,4,0,,,13,,,37.82866588,-122.2865161,-25.3196,0.05,135,,0.01,-0.05,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.974,99587.042,1.3,100,0.009,0.019
2111,414537.4,4,0,,,13,,,37.82866574,-122.2865161,-25.3164,0.02,22.38,,0.02,-0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.958,99587.026,1.4,100,0.016,0.016
2111,414537.5,4,0,,,13,,,37.82866583,-122.286516,-25.319,0.02,251.565,,0.02,0,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.968,99587.036,1.5,100,0.017,0.017
2111,414537.6,4,0,,,13,,,37.82866571,-122.286516,-25.3168,0.01,61.39,,0.01,-0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.954,99587.022,1.6,100,0.014,0.014
2111,414537.7,4,0,,,13,,,37.82866569,-122.2865161,-25.3242,0.03,159.146,,0.02,-0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.953,99587.021,1.7,100,0.009,0.012
2111,414537.8,4,0,,,13,,,37.82866569,-122.2865162,-25.3007,0.04,309.806,,0.01,0.04,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.952,99587.02,1.8,100,0.005,0.024
2111,414537.9,4,0,,,13,,,37.82866574,-122.286516,-25.3408,0.04,0,,0.02,-0.03,,,,1.5,0.8,0.07,0.18,0.07,0.16,99583.957,99587.025,0.9,100,0.021,0.045
2111,414538,4,0,,,13,,,37.82866567,-122.2865161,-25.284,0.03,180,,0.01,-0.03,,,,1.5,0.8,0.07,0.19,0.07,0.16,99583.95,99587.018,1,100,0.016,0.059
2111,414538.1,4,0,,,13,,,37.82866559,-122.2865161,-25.2789,0.02,146.31,,0.01,0.02,,,,1.5,0.8,0.07,0.19,0.07,0.16,99583.941,99587.009,1.1,100,0.009,0.01
2111,414538.2,4,0,,,13,,,37.82866571,-122.2865161,-25.293,0.05,274.086,,0.03,-0.04,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.955,99587.023,1.2,100,0.015,0.02
2111,414538.3,4,0,,,13,,,37.82866587,-122.2865159,-25.3325,0.05,71.565,,0.03,0.03,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.972,99587.04,1.3,100,0.02,0.044
2111,414538.4,4,0,,,13,,,37.82866582,-122.2865162,-25.3191,0.03,193.392,,0.02,0.02,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.967,99587.035,1.4,100,0.023,0.027
2111,414538.5,4,0,,,13,,,37.82866576,-122.2865161,-25.3193,0.03,294.444,,0.01,-0.03,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.96,99587.028,1.5,100,0.01,0.01
2111,414538.6,4,0,,,13,,,37.82866563,-122.286516,-25.3192,0.03,139.97,,0.03,0,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.945,99587.013,1.6,100,0.018,0.018
2111,414538.7,4,0,,,13,,,37.82866569,-122.2865162,-25.2697,0.03,330.018,,0.03,-0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.953,99587.021,1.7,100,0.014,0.051
2111,414538.8,4,0,,,13,,,37.82866565,-122.2865161,-25.2723,0.02,128.66,,0.01,0.02,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.948,99587.016,1.8,100,0.005,0.005
2111,414538.9,4,0,,,13,,,37.82866565,-122.286516,-25.3035,0.04,80.538,,0.01,-0.03,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.948,99587.016,1.9,100,0.008,0.032
2111,414539,4,0,,,13,,,37.82866574,-122.2865162,-25.3282,0.03,277.595,,0.02,-0.02,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.958,99587.026,2,100,0.018,0.031
2111,414539.1,4,0,,,13,,,37.82866561,-122.286516,-25.3141,0.01,110.556,,0.01,-0.01,,,,1.5,0.8,0.09,0.21,0.07,0.16,99583.943,99587.011,2.1,100,0.02,0.025
2111,414539.2,4,0,,,13,,,37.82866586,-122.2865161,-25.3493,0.01,243.435,,0.01,0.01,,,,1.5,0.8,0.09,0.22,0.07,0.16,99583.971,99587.04,2.2,100,0.029,0.046
2111,414539.3,4,0,,,13,,,37.82866573,-122.286516,-25.3378,0.04,6.71,,0.02,-0.04,,,,1.5,0.8,0.09,0.22,0.07,0.16,99583.956,99587.024,2.3,100,0.016,0.02
2111,414539.4,4,0,,,13,,,37.82866559,-122.286516,-25.2933,0.03,201.371,,0.02,0.02,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.941,99587.009,1.4,100,0.017,0.048
2111,414539.5,4,0,,,13,,,37.82866567,-122.2865161,-25.3077,0,333.435,,0,0,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.95,99587.018,1.5,100,0.017,0.022
2111,414539.6,4,0,,,13,,,37.82866562,-122.2865161,-25.2933,0.03,56.31,,0.02,0.02,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.945,99587.013,1.6,100,0.006,0.016
2111,414539.7,4,0,,,13,,,37.82866569,-122.2865162,-25.2895,0.02,199.44,,0.02,0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.952,99587.02,1.7,100,0.011,0.012
2111,414539.8,4,0,,,13,,,37.82866568,-122.2865161,-25.2921,0.06,120.964,,0.01,-0.06,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.952,99587.02,1.8,100,0.01,0.01
2111,414539.9,4,0,,,13,,,37.82866563,-122.2865163,-25.3123,0.04,31.608,,0.02,0.04,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.946,99587.014,1.9,100,0.019,0.027
2111,414540,4,0,,,13,,,37.82866565,-122.2865161,-25.293,0.04,233.973,,0.03,-0.03,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.948,99587.016,2,100,0.014,0.024
2111,414540.1,4,0,,,13,,,37.82866564,-122.2865161,-25.2823,0.03,65.095,,0.03,0,,,,1.5,0.8,0.09,0.21,0.07,0.16,99583.948,99587.016,2.1,100,0.004,0.012
2111,414540.2,4,0,,,13,,,37.82866583,-122.2865161,-25.3114,0.03,153.435,,0.02,0.02,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.968,99587.036,1.2,100,0.021,0.036
2111,414540.3,4,0,,,13,,,37.82866576,-122.286516,-25.3112,0.04,345.964,,0.02,-0.04,,,,1.5,0.8,0.08,0.19,0.07,0.16,99583.96,99587.028,1.3,100,0.008,0.008
2111,414540.4,4,0,,,13,,,37.82866567,-122.2865161,-25.3079,0.02,246.801,,0.02,-0.02,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.951,99587.019,1.4,100,0.01,0.01
2111,414540.5,4,0,,,13,,,37.82866563,-122.286516,-25.2825,0.04,193.57,,0.03,0.03,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.946,99587.014,1.5,100,0.007,0.026
2111,414540.6,4,0,,,13,,,37.82866557,-122.2865162,-25.2976,0.02,42.709,,0.02,-0.01,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.94,99587.008,1.6,100,0.02,0.025
2111,414540.7,4,0,,,13,,,37.82866563,-122.2865159,-25.2708,0.02,216.87,,0.01,-0.02,,,,1.5,0.8,0.08,0.2,0.07,0.16,99583.946,99587.014,1.7,100,0.029,0.04
2111,414540.8,4,0,,,13,,,37.82866559,-122.2865162,-25.2494,0.03,45,,0.02,0.03,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.942,99587.01,1.8,100,0.024,0.032
2111,414540.9,4,0,,,13,,,37.82866563,-122.2865161,-25.277,0.03,230.711,,0.01,-0.03,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.946,99587.014,1.9,100,0.006,0.028
2111,414541,4,0,,,13,,,37.82866566,-122.2865161,-25.3316,0.02,104.744,,0.02,0,,,,1.5,0.8,0.08,0.21,0.07,0.16,99583.949,99587.017,2,100,0.004,0.055
2111,414541.1,4,0,,,13,,,37.82866572,-122.2865159,-25.3049,0.03,13.496,,0.03,0.01,,,,1.5,0.8,0.09,0.21,0.07,0.16,99583.955,99587.023,2.1,100,0.019,0.033
2111,414541.2,4,0,,,13,,,37.82866568,-122.286516,-25.3238,0.02,267.274,,0.02,-0.01,,,,1.5,0.8,0.09,0.22,0.07,0.16,99583.952,99587.02,2.2,100,0.009,0.021
2111,414541.3,4,0,,,13,,,37.82866569,-122.286516,-25.3074,0.02,108.435,,0.01,0.01,,,,1.5,0.8,0.09,0.22,0.07,0.16,99583.952,99587.02,2.3,100,0.003,0.017
2111,414541.4,4,0,,,13,,,37.82866564,-122.2865161,-25.3002,0.02,113.199,,0.02,-0.01,,,,1.5,0.8,0.09,0.22,0.07,0.16,99583.947,99587.015,2.4,100,0.015,0.016
2111,414541.5,4,0,,,13,,,37.82866556,-122.2865162,-25.3135,0.01,150.255,,0.01,-0.01,,,,1.5,0.8,0.09,0.22,0.07,0.16,99583.938,99587.006,2.5,100,0.009,0.016
